Deploy Parameter name,Mandatory,Default Value,Example,Description,
qubership-apihub-backend,,,,,
APIHUB_POSTGRESQL_HOST,Yes,localhost,postgres.example.com,PG host address,
APIHUB_POSTGRESQL_PORT,Yes,5432,5432,PG port,
APIHUB_POSTGRESQL_DB_NAME,Yes,apihub,apihub_backend_prod_db,Logical database in PG cluster for APIHUB. Manual pre-creation required,
APIHUB_POSTGRESQL_USERNAME,Yes,apihub,apihub_backend_prod_admin,User for APIHUB_POSTGRESQL_DB_NAME database,
APIHUB_POSTGRESQL_PASSWORD,Yes,apihub,apihub_backend_prod_password,Password for APIHUB_POSTGRESQL_USERNAME user.,
PRODUCTION_MODE,Yes,FALSE,TRUE,"Enables production mode - login under local apihub users is prohibited in this mode. In this mode only SAML auth is possible, so SAML integration related deploy parameters are mandatory in this case",
APIHUB_ADMIN_EMAIL,No,,admin@example.com,Default admin user login (example: x_apihub). If set - this admin user will be created automatically.,
APIHUB_ADMIN_PASSWORD,No,,admin-password,Default admin user password (example: password),
APIHUB_ACCESS_TOKEN,Yes,,access-token-12345,Default system access token (any string). The token will be provisioned automatically during bootstrap,
APIHUB_URL,No,,https://apihub.example.com,Factual APIHUB server URL in your environment. Required only if SAML integration enabled,
ADFS_METADATA_URL,No,,https://adfs.example.com/FederationMetadata/2007-06/FederationMetadata.xml,SAML metadata URL. If set - enables SAML integration,
SAML_CRT,No,,LS0tLS1CRUdJTi...,"SAML server certificate, base64 encoded. Required only if SAML integration enabled",
SAML_KEY,No,,LS0tLS1CRUdJTi...,"SAML server private key, base64 encoded. Required only if SAML integration enabled",
DB_TYPE,No,postgres,postgres,,
DIFF_SERVICE_URL,Yes,http://localhost:3000,http://qubership-build-task-consumer.svc.local:3000,qubership-build-task-consumer service URL. May vary depends on deploy schema,
JWT_PRIVATE_KEY,Yes,,LS0tLS1CRUdJTiBQUklWQV...,"Self generated private PKCS#8 private key, base64 encoded. Used as unique identifier of APIHUB instace",
LDAP_SERVER,No,,ldap://ldap.example.com:389,LDAP server URL. Required for SAML integration for syncing user inf,
LDAP_USER,No,,"cn=apihub,dc=example,dc=com",LDAP User used for connecting to LDAP server,
LDAP_USER_PASSWORD,No,,ldap-password,Password for LDAP User,
MINIO_STORAGE_ACTIVE,No,FALSE,FALSE,Set to true to enable S3 integration. S3 is used for store debug data,
STORAGE_SERVER_USERNAME,No,,minio-access-key,Access Key ID from Minio S3 storage,
STORAGE_SERVER_BUCKET_NAME,No,,apihub-bucket,Bucket name in Minio S3 storage,
STORAGE_SERVER_CRT,No,,LS0tLS1CRUdJTiBQUklWQV...,Certificate for accessing Minio S3 storage,
STORAGE_SERVER_URL,No,,minio.example.com,Minio endpoint for client connection,
STORAGE_SERVER_PASSWORD,No,,minio-secret-key,Secret key for Minio S3 storage access,
MINIO_STORE_ONLY_BUILD_RESULT,No,FALSE,TRUE,Set to true to store only build results (less data amout) in S3 storage,
ORIGIN_ALLOWED,No,,https://example.com,TODO,
PUBLISH_ARCHIVE_SIZE_LIMIT_MB,No,50,50,Limit for uploaded package size in order to avoid OOM,
PUBLISH_FILE_SIZE_LIMIT_MB,No,15,20,Limit for uploaded file (inside package) size in order to avoid OOM,
RELEASE_VERSION_PATTERN,No,^[0-9]{4}[.]{1}[1-4]{1}$,^2023\.1$,Regex pattern for releases names validation.,
SYSTEM_NOTIFICATION,No,,Maintenance scheduled on 2023-10-15,If set - footer with this text is shown for alll APIHUB users in APIHUB UI. Designed for maintenance windows.,
INSECURE_PROXY,No,FALSE,TRUE,Set to true to enable apihub playground work without authtorization.,
MONITORING_ENABLED,No,,FALSE,Set to true to enable Prometheus metrics endpoints,
ARTIFACT_DESCRIPTOR_VERSION,No,unknown,1.1.0,"APIHUB release version, need to be shown in UI",
